ID_REF	VALUE
1553479_at	2.9064
1553482_at	3.1157
1553483_at	3.5611
1553484_at	2.2754
1553485_at	2.7793
1553486_a_at	1.9932
1553488_at	2.6162
1553489_a_at	2.3707
1553491_at	2.1501
1553492_a_at	2.0497
1553493_a_at	2.8085
1553494_at	2.8569
1553497_at	1.7686
1553498_at	2.5243
1553499_s_at	2.6874
1553500_at	2.2253
1553502_a_at	2.7046
1553504_at	2.1344
1553505_at	5.2581
1553506_at	3.3995
1553507_a_at	1.9589
1553508_at	2.3947
1553510_s_at	5.0529
1553511_at	2.9364
1553512_at	2.9179
1553513_at	2.7681
1553514_a_at	2.2741
1553515_at	3.0404
1553517_at	2.3385
1553518_at	2.2204
1553519_at	1.8892
1553521_at	2.2583
1553523_at	2.2939
1553524_at	2.1516
1553525_at	3.237
1553526_at	2.4645
1553527_at	2.8827
1553528_a_at	8.9906
1553529_at	2.0616
1553530_a_at	6.1147
1553531_at	2.7038
1553532_a_at	3.0205
1553533_at	2.4016
1553534_at	2.6431
1553535_a_at	4.1758
1553536_at	5.0259
1553537_at	3.4194
1553538_s_at	13.8781
1553539_at	3.101
1553540_a_at	3.078
1553541_at	1.876
1553542_at	3.3583
1553544_at	2.7765
1553545_at	2.1833
1553546_at	1.9255
1553547_at	4.1234
1553549_at	2.174
1553550_at	2.9505
1553551_s_at	13.9625
1553552_at	3.0666
1553553_at	3.001
1553555_at	2.5374
1553556_at	1.788
1553558_at	1.9606
1553559_at	2.7676
1553560_at	2.8695
1553561_at	1.8623
1553562_at	2.5759
1553564_at	3.4027
1553565_s_at	3.3582
1553566_at	2.6918
1553567_s_at	13.4293
1553568_a_at	3.0033
1553569_at	13.9591
1553570_x_at	14.1326
1553572_a_at	3.2103
1553573_s_at	2.0709
1553574_at	2.5495
1553575_at	13.842
1553579_a_at	2.432
1553581_s_at	10.6507
1553582_a_at	2.8004
1553583_a_at	7.6219
1553584_at	2.8591
1553585_a_at	3.6584
1553586_at	2.8528
1553587_a_at	4.9184
1553588_at	13.5379
1553589_a_at	9.3938
1553590_at	3.6408
1553591_at	2.7479
1553592_x_at	2.4585
1553593_a_at	3.2183
1553594_a_at	3.7686
1553599_a_at	8.6431
1553600_at	2.7102
1553601_a_at	2.7379
1553602_at	12.9991
1553603_s_at	8.503
1553604_at	5.5971
1553605_a_at	6.0274
1553607_at	2.5517
1553608_a_at	2.6546
1553611_s_at	2.9185
1553612_at	4.8883
1553613_s_at	7.2358
1553614_a_at	3.7189
1553618_at	3.1867
1553619_a_at	2.0229
1553620_at	2.2541
1553622_a_at	2.0477
1553623_at	2.3059
1553625_at	2.876
1553626_a_at	2.568
