ID_REF	VALUE
1553304_at	3.787
1553306_at	3.0826
1553310_at	3.0954
1553311_at	3.6343
1553313_s_at	8.2757
1553314_a_at	2.5743
1553315_at	6.173
1553316_at	3.5908
1553317_s_at	1.9136
1553318_at	2.5754
1553319_at	2.9076
1553320_s_at	1.8136
1553321_a_at	2.2024
1553322_s_at	3.2219
1553323_a_at	3.4254
1553325_at	2.4426
1553326_at	2.2829
1553327_a_at	2.3184
1553328_a_at	3.5418
1553329_at	2.2214
1553330_at	2.2278
1553333_at	4.0069
1553335_x_at	3.2724
1553336_a_at	2.2056
1553338_at	3.3301
1553340_s_at	2.5778
1553341_at	2.511
1553344_at	1.8316
1553346_a_at	2.9103
1553347_s_at	2.5769
1553348_a_at	5.1353
1553349_at	6.547
1553350_at	2.4812
1553351_at	2.0447
1553352_x_at	4.1248
1553354_a_at	3.5801
1553355_at	2.7613
1553356_at	2.5657
1553357_at	2.2114
1553359_at	4.4026
1553361_x_at	4.1546
1553362_at	2.0077
1553363_at	3.0518
1553364_at	4.9876
1553365_at	2.8547
1553366_s_at	3.123
1553367_a_at	2.9591
1553369_at	2.7985
1553371_at	2.2111
1553372_at	2.7642
1553373_at	2.0956
1553374_at	2.2995
1553375_at	2.5292
1553376_a_at	2.6492
1553378_a_at	1.7657
1553380_at	2.6979
1553383_at	3.0072
1553385_at	2.8055
1553386_at	3.7362
1553387_at	3.5259
1553388_at	3.8437
1553389_at	3.5503
1553390_at	2.7094
1553391_at	2.139
1553392_at	3.7674
1553394_a_at	4.7427
1553395_a_at	3.2062
1553396_a_at	2.8446
1553397_at	2.8704
1553398_at	2.5976
1553399_a_at	6.1042
1553400_a_at	4.9359
1553401_at	3.1243
1553402_a_at	2.7876
1553403_at	2.7433
1553405_a_at	3.2921
1553407_at	4.9515
1553409_at	2.4319
1553410_a_at	2.3391
1553411_s_at	1.8493
1553412_at	3.2159
1553413_at	3.1292
1553415_at	1.6539
1553417_at	2.015
1553418_a_at	2.2939
1553420_at	2.3278
1553422_s_at	2.5143
1553423_a_at	4.2422
1553424_at	2.6995
1553425_at	2.5665
1553426_at	3.0763
1553427_at	2.6876
1553428_at	2.203
1553429_at	2.7265
1553430_a_at	2.0148
1553432_s_at	2.7151
1553433_at	3.7526
1553434_at	3.2131
1553435_at	3.439
1553436_at	2.1672
1553437_at	2.5778
1553438_at	3.1277
1553439_at	2.2152
1553440_at	2.4432
1553441_at	2.3863
1553442_a_at	2.8843
1553443_at	2.3859
1553444_a_at	3.3921
1553446_at	1.982
1553447_at	2.2909
1553448_at	1.747
1553449_at	2.1051
1553450_s_at	1.9228
1553451_at	1.9363
1553452_at	2.8581
1553453_at	3.6663
1553454_at	4.9302
1553456_at	2.3138
1553457_at	2.1118
1553458_at	2.4136
1553459_at	2.6383
1553460_at	2.1073
1553461_at	2.068
1553462_at	3.7037
1553464_at	2.4288
1553465_a_at	2.9476
1553466_at	2.8404
1553467_at	1.8864
1553468_at	2.3419
1553470_at	2.3847
1553471_at	2.64
1553472_at	2.961
1553474_at	2.5304
1553475_at	2.9355
1553478_at	2.2249
1553479_at	3.0063
1553482_at	3.1091
1553483_at	3.7389
1553484_at	2.215
1553485_at	2.9419
1553486_a_at	2.1116
1553488_at	2.7903
1553489_a_at	2.3495
1553491_at	2.3375
1553492_a_at	2.3946
1553493_a_at	4.621
1553494_at	5.1028
1553497_at	2.0928
1553498_at	2.8132
1553499_s_at	3.1682
1553500_at	2.1992
1553502_a_at	2.5626
1553504_at	2.4023
1553505_at	6.161
1553506_at	3.3416
1553507_a_at	1.8948
1553508_at	2.8196
1553510_s_at	4.4052
1553511_at	2.741
1553512_at	2.9493
1553513_at	2.6808
1553514_a_at	2.2767
1553515_at	3.1096
1553517_at	2.5266
1553518_at	2.4156
1553519_at	1.9499
1553521_at	2.556
1553523_at	2.3842
1553524_at	2.1067
1553525_at	3.1352
1553526_at	2.748
1553527_at	3.0298
1553528_a_at	8.1478
1553529_at	2.0063
1553530_a_at	5.8078
1553531_at	2.72
1553532_a_at	2.8621
1553533_at	2.3386
1553534_at	2.4236
1553535_a_at	4.4344
1553536_at	5.1338
1553537_at	5.4643
1553538_s_at	13.531
1553539_at	3.82
1553540_a_at	2.8935
1553541_at	1.972
1553542_at	3.0875
1553544_at	2.8326
1553545_at	2.228
1553546_at	2.115
1553547_at	4.2221
1553549_at	2.3062
1553550_at	3.1962
1553551_s_at	13.6291
1553552_at	3.0267
1553553_at	2.742
1553555_at	2.5835
1553556_at	2.0955
1553558_at	1.788
1553559_at	2.6836
1553560_at	2.8238
1553561_at	1.8939
1553562_at	2.9174
1553564_at	3.2166
1553565_s_at	2.747
1553566_at	2.6158
1553567_s_at	13.009
1553568_a_at	3.2305
1553569_at	14.0581
1553570_x_at	14.2191
1553572_a_at	3.2198
1553573_s_at	2.1482
1553574_at	3.7208
1553575_at	13.7965
1553579_a_at	2.3767
1553581_s_at	10.875
1553582_a_at	2.5849
1553583_a_at	6.4692
1553584_at	2.8392
1553585_a_at	3.6191
1553586_at	2.9319
1553587_a_at	4.5025
1553588_at	13.2912
1553589_a_at	9.2242
1553590_at	3.696
1553591_at	2.8855
1553592_x_at	2.6501
1553593_a_at	3.1058
1553594_a_at	4.0189
1553599_a_at	7.9492
1553600_at	2.6985
1553601_a_at	2.9522
1553602_at	12.8748
1553603_s_at	8.5006
1553604_at	4.7224
1553605_a_at	5.1302
1553607_at	2.254
1553608_a_at	2.6022
1553611_s_at	2.7505
1553612_at	4.9938
1553613_s_at	7.3996
1553614_a_at	2.6156
1553618_at	3.122
1553619_a_at	2.0851
1553620_at	2.2215
1553622_a_at	2.254
1553623_at	2.1726
1553625_at	2.8133
1553626_a_at	2.732
1553627_s_at	3.6531
1553629_a_at	2.3975
1553630_at	2.3295
1553633_s_at	3.1608
1553634_a_at	2.9499
1553635_s_at	3.8835
1553636_at	1.9374
1553637_s_at	2.5683
1553639_a_at	3.7939
1553640_at	3.1034
1553641_a_at	2.3463
1553642_at	3.2362
1553644_at	2.5145
1553645_at	2.8955
1553646_at	2.7342
1553647_at	3.2255
1553651_at	2.7007
1553652_a_at	3.1062
1553654_at	1.98
1553655_at	2.0139
1553656_at	2.3623
1553657_at	2.4127
1553658_at	3.5917
1553660_at	3.4724
1553661_a_at	2.3032
1553663_a_at	3.192
1553666_at	3.5341
1553668_at	4.8056
1553670_at	2.4761
1553672_at	3.803
1553673_at	3.0254
1553674_at	2.7527
1553675_at	2.4245
1553677_a_at	4.5059
1553678_a_at	8.3775
1553679_s_at	3.6879
1553681_a_at	2.9494
1553682_at	5.0455
1553683_s_at	3.6131
1553684_at	2.7389
1553685_s_at	2.7714
1553686_at	4.5326
1553688_at	2.8161
1553689_s_at	7.8775
1553690_at	3.1772
1553691_at	3.911
1553693_s_at	9.7619
1553694_a_at	5.0066
1553695_a_at	4.4343
1553696_s_at	5.4067
1553697_at	4.5208
1553698_a_at	3.4043
1553701_a_at	3.3038
1553702_at	2.9932
1553703_at	6.678
1553704_x_at	6.3345
1553705_a_at	4.0727
1553706_at	3.8476
1553708_at	1.8675
1553709_a_at	7.2059
1553710_at	4.9621
1553711_a_at	4.9664
1553713_a_at	3.5763
1553715_s_at	3.9193
1553717_at	5.6075
1553718_at	10.2706
1553719_s_at	8.9122
1553720_a_at	3.2208
1553721_at	2.3254
1553722_s_at	3.7709
1553723_at	2.5327
1553725_s_at	3.1915
1553726_s_at	4.1426
1553727_at	2.574
1553728_at	2.9827
1553729_s_at	2.6129
1553730_x_at	2.3834
1553732_s_at	3.5267
1553734_at	3.0078
1553736_at	4.0512
1553739_at	2.5471
1553740_a_at	2.8037
1553741_at	2.7548
1553743_at	5.1488
1553746_a_at	3.2626
1553747_at	2.3751
1553749_at	9.2181
1553750_a_at	4.5273
1553752_at	3.7221
1553755_at	3.627
1553756_at	3.3746
1553757_at	6.2351
1553759_at	4.4156
1553761_at	2.8183
1553764_a_at	9.7757
1553765_a_at	2.092
1553768_a_at	4.9133
1553769_at	2.5614
1553770_a_at	2.9814
1553772_at	4.2
1553775_at	3.6895
1553776_at	2.5945
1553778_at	2.5775
1553780_at	3.289
1553781_at	2.8643
1553785_at	4.9386
1553787_at	5.1011
1553789_a_at	4.8439
1553792_at	2.4308
1553793_a_at	3.3397
1553794_at	2.4147
1553796_at	2.7554
1553797_a_at	2.5422
1553798_a_at	3.4183
1553799_at	4.3031
1553801_a_at	4.4078
1553802_a_at	2.9899
1553803_at	3.0181
1553804_a_at	3.0473
1553805_at	3.2295
1553808_a_at	2.5945
1553809_a_at	2.385
1553810_a_at	3.0292
1553811_at	2.8717
1553812_at	3.1566
1553813_s_at	2.5278
1553815_a_at	4.2267
1553817_at	2.7512
1553818_x_at	2.9771
1553821_at	2.5109
1553822_at	3.1237
1553823_a_at	2.6681
1553826_a_at	2.4722
1553828_at	2.8347
1553829_at	6.4316
1553830_s_at	2.9294
1553831_at	2.7198
1553832_at	3.16
1553834_at	3.3363
1553835_a_at	3.8183
1553837_at	2.8186
1553838_at	2.5419
1553839_at	4.4412
1553840_a_at	4.6764
1553842_at	2.3799
1553843_at	2.9674
1553844_a_at	3.4165
1553845_x_at	3.5723
1553846_at	2.6574
1553847_a_at	2.9495
1553849_at	2.1803
1553850_at	2.1694
1553851_at	2.2858
1553852_at	2.9405
1553856_s_at	2.6963
1553857_at	5.1694
1553858_at	9.4179
1553859_at	2.9145
1553860_at	2.224
1553861_at	4.3658
1553863_at	2.2567
1553864_at	2.8054
1553865_a_at	2.1184
1553868_a_at	1.9346
1553869_at	2.9073
1553871_at	2.5517
1553872_at	4.11
1553873_at	2.659
1553874_a_at	2.4794
1553875_s_at	2.3285
1553876_at	2.5045
1553878_at	2.9542
1553879_a_at	2.326
1553880_at	3.1321
1553881_at	2.5266
1553882_at	4.6083
1553883_at	2.137
1553885_x_at	1.914
1553886_at	2.3851
1553887_at	2.4956
1553888_at	2.8675
1553889_at	2.8529
1553890_s_at	4.2286
1553891_at	2.8033
1553893_at	3.0505
1553894_at	5.7133
1553895_at	2.4201
1553898_a_at	2.5553
1553900_s_at	3.6505
1553901_x_at	4.685
