ID_REF	VALUE
1553190_s_at	3.3393
1553191_at	2.8996
1553192_at	3.5557
1553193_at	5.4985
1553194_at	4.1304
1553196_a_at	2.5282
1553197_at	3.2047
1553199_at	2.319
1553202_at	3.3593
1553204_at	2.561
1553205_at	2.89
1553207_at	3.0558
1553208_s_at	3.5883
1553209_at	2.5996
1553211_at	4.0922
1553212_at	7.7252
1553213_a_at	5.4508
1553214_a_at	7.0445
1553215_s_at	4.3297
1553216_at	3.5051
1553217_s_at	2.9179
1553218_a_at	6.761
1553219_a_at	2.5873
1553220_at	3.8923
1553221_at	2.7262
1553222_at	3.4272
1553224_at	2.5482
1553225_s_at	3.9502
1553226_at	3.0496
1553227_s_at	7.2944
1553228_at	3.9893
1553229_at	2.965
1553232_at	2.684
1553234_at	3.4617
1553235_at	2.4559
1553237_x_at	2.6003
1553238_a_at	3.0474
1553239_at	3.6496
1553241_at	2.662
1553243_at	6.0719
1553244_at	2.6264
1553246_a_at	1.8465
1553247_a_at	6.2502
1553248_at	3.3712
1553249_at	3.4557
1553252_a_at	8.0434
1553253_at	2.8937
1553254_at	2.2886
1553255_at	1.6397
1553257_at	2.5991
1553258_at	2.8938
1553260_s_at	2.7231
1553261_x_at	2.5969
1553262_a_at	2.859
1553263_at	3.0405
1553264_a_at	3.0477
1553265_at	2.6698
1553266_at	2.3295
1553267_a_at	2.7042
1553268_at	2.9899
1553269_at	6.3203
1553271_at	6.5923
1553272_at	1.9384
1553274_a_at	8.7673
1553275_s_at	6.0123
1553276_at	2.0302
1553277_at	2.5449
1553279_at	3.3621
1553280_at	3.2104
1553281_at	2.1496
1553282_at	2.3146
1553284_s_at	2.6355
1553285_s_at	3.3312
1553286_at	4.5311
1553288_a_at	2.7098
1553292_s_at	7.9909
1553293_at	2.3077
1553295_at	2.1551
1553296_at	2.6298
1553297_a_at	2.7849
1553298_at	2.4986
1553299_at	2.8813
1553300_a_at	2.5192
1553301_a_at	2.7713
1553303_at	2.5511
1553304_at	3.5985
1553306_at	4.3009
1553310_at	2.623
1553311_at	3.667
1553313_s_at	7.7125
1553314_a_at	2.5924
1553315_at	5.2314
1553316_at	2.4888
1553317_s_at	2.0692
1553318_at	2.5434
1553319_at	3.1709
1553320_s_at	1.8708
1553321_a_at	2.2205
1553322_s_at	2.9932
1553323_a_at	4.3161
1553325_at	2.5102
1553326_at	2.4365
1553327_a_at	2.1227
1553328_a_at	3.9133
1553329_at	2.2227
1553330_at	2.2225
1553333_at	3.7386
1553335_x_at	3.2801
1553336_a_at	1.827
1553338_at	3.2344
1553340_s_at	2.4285
1553341_at	2.4118
1553344_at	1.9071
1553346_a_at	2.8569
1553347_s_at	2.8428
1553348_a_at	4.3737
1553349_at	5.3981
1553350_at	2.5688
1553351_at	2.0967
1553352_x_at	4.2839
1553354_a_at	3.2952
1553355_at	2.788
1553356_at	2.516
1553357_at	2.5743
1553359_at	4.057
1553361_x_at	3.731
1553362_at	2.0404
1553363_at	2.8995
1553364_at	4.7569
1553365_at	2.9112
1553366_s_at	3.069
1553367_a_at	2.8909
1553369_at	3.0631
1553371_at	1.8267
1553372_at	2.6736
1553373_at	2.0676
1553374_at	2.2864
1553375_at	2.2975
1553376_a_at	2.928
1553378_a_at	1.77
1553380_at	3.1414
1553383_at	2.9069
1553385_at	2.6768
1553386_at	3.7243
1553387_at	3.4769
1553388_at	2.6627
1553389_at	3.2562
1553390_at	2.5175
1553391_at	2.3405
1553392_at	3.1531
1553394_a_at	5.812
